gene	sim_score
FGFR3	3.5838
ACAN	3.1921
LBR	3.1921
TONSL	3.1921
NXN	3.1438
INPPL1	3.1016
CDKN1C	3.0571
OBSL1	3.0571
EXTL3	3.0441
SOX9	3.0297
CEP120	3.0292
COL2A1	2.9954
SLC26A2	2.9954
DVL1	2.9954
FGFR1	2.9954
FGFR2	2.9954
MTOR	2.9954
FZD2	2.9954
WNT5A	2.9954
WDR35	2.9954
DLK1	2.9666
MEG3	2.9666
VPS35L	2.9666
RTL1	2.9666
ROR2	2.947
CSGALNACT1	2.947
POLE	2.9401
PIGN	2.9116
B3GLCT	2.9048
DHCR24	2.8943
TRIP11	2.8782
DVL3	2.8604
SERPINH1	2.8465
KRAS	2.829
SON	2.829
ZFX	2.7942
HRAS	2.7698
KIF7	2.7698
SMC1A	2.7656
FGD1	2.7608
SATB2	2.7608
IFT81	2.7596
RYR1	2.7412
MED12	2.7385
POLR3A	2.7385
KDM6B	2.7385
CCDC22	2.7385
BRAF	2.7381
IFT80	2.7298
SLC35D1	2.708
BGN	2.7049
DYNC2I1	2.6815
DYNC2H1	2.6815
DYNC2I2	2.6815
APC	2.6725
LAMA5	2.6621
LRP4	2.6436
POLR1A	2.6434
LZTR1	2.6347
MRAS	2.6347
RERE	2.6323
RUNX2	2.6323
ERF	2.6323
FBN1	2.6323
NFIX	2.6323
HDAC4	2.6323
BICRA	2.6323
IGF2	2.6246
MEGF8	2.6238
PDGFRB	2.6238
POR	2.6238
PCGF2	2.6207
IFT43	2.612
EXT2	2.6069
NF1	2.6025
DPYD	2.5994
GLI3	2.5948
HDAC6	2.5798
MITF	2.5793
XYLT1	2.5696
RMP64	2.5677
PKDCC	2.5669
LMNA	2.5662
PTCH1	2.564
AHDC1	2.5635
TRIO	2.5622
PIGT	2.561
HSPG2	2.5462
IDUA	2.5417
CDC42BPB	2.5417
NRAS	2.5413
PTEN	2.5413
DEAF1	2.5413
SP7	2.5413
GPC4	2.5375
MECP2	2.5375
ZBTB20	2.5375
RAB23	2.5375
BMP2	2.5289
TBX15	2.5254
ITCH	2.5167
POC1A	2.5087
IFT140	2.5041
CSPP1	2.5041
SMO	2.5001
HMGA2	2.4952
NONO	2.4854
PEX7	2.4775
OFD1	2.4735
FBXO11	2.4735
GNB2	2.4717
FOCAD	2.471
SMAD4	2.4693
DPH2	2.4688
USP9X	2.4688
CUL4B	2.4688
ZMPSTE24	2.4688
SOST	2.4643
PIGY	2.4616
IHH	2.4545
ODC1	2.4524
PIK3CA	2.4508
MAP2K1	2.4508
WASHC5	2.4508
STAG2	2.4508
TMEM216	2.4508
DPYSL5	2.4508
TCF20	2.4475
GNPAT	2.4472
KCNH1	2.447
PIGA	2.447
CRELD1	2.447
PEX1	2.4466
RAF1	2.4466
PTDSS1	2.4457
GPC3	2.4386
SIM1	2.4384
SOS1	2.438
SHH	2.4377
COL11A1	2.4371
FLNB	2.4371
CHST3	2.4371
EBP	2.4371
B3GAT3	2.4371
IFT52	2.4371
DPH1	2.4365
UBE2A	2.4323
ALG12	2.4316
PIGV	2.4308
RIT1	2.4303
ZSWIM6	2.4301
PPP1CB	2.4262
ASXL1	2.4093
POP1	2.4035
MAN2B1	2.4009
EIF4A2	2.4005
RAC1	2.3971
MAB21L2	2.3955
TBX6	2.3955
COL1A1	2.3887
DDR2	2.3887
PRKAR1A	2.3887
NOTCH2	2.3787
TMEM67	2.3787
NALCN	2.3787
PTPN11	2.3784
B4GALT7	2.3784
SH2B1	2.3784
TMCO1	2.3784
GJA1	2.3667
PEX5	2.3667
ADNP	2.3649
ARSB	2.3632
H3-3A	2.3611
GLI2	2.3609
PLAG1	2.3591
COL11A2	2.3589
PIGL	2.3546
H19	2.3533
CLCN3	2.3496
H3-3B	2.3465
SEC23A	2.343
PTH1R	2.3423
RFWD3	2.3418
CCDC8	2.3418
MAP2K2	2.3415
MYSM1	2.3391
FAM20C	2.3383
COG1	2.3318
CEP57	2.3291
ALG9	2.3291
ANKH	2.3272
DICER1	2.3272
PEX12	2.3238
CTSK	2.3193
DLL3	2.3185
MESP2	2.3185
MYH3	2.3118
RSPRY1	2.3118
MAN1B1	2.3055
SLC16A2	2.3044
GPC6	2.3025
FLNA	2.3021
PDE4D	2.3021
CUL7	2.3021
TCTN3	2.3008
SALL4	2.3008
CTNNB1	2.2985
FLI1	2.2985
KDM1A	2.2985
AMER1	2.2985
ACTB	2.2966
XRCC4	2.2927
SEC24D	2.2904
HERC1	2.2887
IDH1	2.2871
SNX14	2.2868
IFT122	2.2783
WDR19	2.2783
BMPR1A	2.2758
NSD1	2.2758
SHANK3	2.2755
HDAC8	2.2743
HUWE1	2.272
USP7	2.2643
EZH2	2.2636
SMARCB1	2.2634
PCNT	2.2629
RNU4ATAC	2.2629
TBCK	2.2556
PUF60	2.2543
PPP2R5D	2.2504
HSD17B4	2.2493
CWC27	2.2489
KIF15	2.2471
SETD2	2.2469
KYNU	2.2453
GNS	2.2435
TRIM37	2.2435
ACP5	2.2411
SLC29A3	2.2383
TUBA1A	2.2372
DHCR7	2.2343
CLCN7	2.2325
GABRD	2.2315
GRIN1	2.2315
PRKCZ	2.2315
SKI	2.2315
LUZP1	2.2315
MMP23B	2.2315
KCNAB2	2.2315
UBE4B	2.2315
PDPN	2.2315
RAI1	2.2315
SPEN	2.2315
GMNN	2.2315
CASZ1	2.2315
PRDM16	2.2315
GRB10	2.2294
TNFRSF11B	2.2203
FMR1	2.2167
APC2	2.2157
DNMT3B	2.2122
MBTPS2	2.2113
FAM149B1	2.2076
JARID2	2.2071
HEPACAM	2.2071
ESCO2	2.2061
DOCK6	2.2019
PGAP2	2.2001
SUFU	2.1988
BPTF	2.1968
SF3B4	2.1968
ANTXR2	2.1958
HECTD4	2.1952
KDM5C	2.1951
SRCAP	2.1951
SMC3	2.1941
ABCC9	2.1933
CHD1	2.1902
FH	2.1871
CRTAP	2.1861
LIFR	2.1843
PIK3R2	2.1819
LFNG	2.1811
PEX6	2.1811
HES7	2.1811
MYMK	2.1811
DPM1	2.1778
TMEM53	2.1772
NGLY1	2.177
JAG1	2.1767
CHD7	2.1745
SUMF1	2.1724
BBS1	2.1721
PITX1	2.1721
