gene	sim_score
GBA1	3.449
STAT3	3.449
RUNX1	3.4099
PSAP	3.3986
NPM1	3.3043
WAS	3.3022
BRCA2	3.2942
KRAS	3.2942
TP53	3.2751
CBL	3.2691
CLCN7	3.2691
ASXL1	3.2691
NLRP3	3.2633
PRKAR1A	3.2569
STAT5B	3.2569
BCOR	3.2569
TBL1XR1	3.2569
SRSF2	3.23
TET2	3.23
NUMA1	3.2177
PML	3.2177
RARA	3.2177
ZBTB16	3.2177
NABP1	3.2177
FIP1L1	3.2177
IRF2BP2	3.2177
PTPN22	3.1724
BRCA1	3.1611
PALB2	3.1611
JAK2	3.1333
SMAD4	3.1328
MYCN	3.1112
KIT	3.0852
HACE1	3.077
ALK	3.0378
LMO1	3.0378
PHOX2B	3.0378
LIN28B	3.0378
CTLA4	3.0277
HLA-DRB1	3.0277
TERT	3.0277
LYN	2.9925
MPL	2.9925
STAT4	2.9925
TREX1	2.9925
HLA-B	2.9885
TERC	2.9839
CALR	2.9534
SCARB2	2.9533
TNFSF11	2.9533
TCIRG1	2.9533
IFNGR1	2.9342
P4HA2	2.9102
ELANE	2.9048
LBR	2.8779
FAS	2.8478
ATRX	2.8478
NLRC4	2.8478
WIPF1	2.8231
STAT1	2.8156
C4A	2.8086
IL10	2.8086
NRAS	2.8086
SNX10	2.8086
TGFB1	2.8011
ATP7B	2.7694
GATA2	2.7648
PDCD1	2.7648
RPS20	2.7592
GIMAP5	2.712
STIM1	2.7119
GNE	2.7028
PIK3CG	2.7022
PLEKHM1	2.7022
IKZF1	2.698
BRAF	2.6939
MAP2K1	2.6939
PSTPIP1	2.6831
ERCC4	2.683
KIF1B	2.6825
SMAD2	2.6803
PTPN11	2.6773
MVK	2.6767
ADA2	2.6767
CR2	2.6755
IRF5	2.6755
BTNL2	2.6755
PSMB8	2.6755
PARN	2.6709
RTEL1	2.6709
FERMT3	2.6685
CDKN2A	2.666
HBB	2.6576
SH2B3	2.6573
KCNN4	2.6564
TBK1	2.6482
RAF1	2.6418
CFH	2.6364
CFI	2.6364
CD46	2.6364
HELLPAR	2.6364
IRAK1	2.6282
SPP1	2.6282
TLR7	2.6282
BLK	2.6235
BTK	2.6235
MECP2	2.6235
IRF4	2.6121
CIITA	2.6114
CCND1	2.6108
ENPP1	2.6016
GNAS	2.5988
GP1BB	2.5972
SMAD3	2.593
C4B	2.5844
DNASE1	2.5844
ETS1	2.5844
FCGR2B	2.5844
FCGR3B	2.5844
IGHG1	2.5844
ITGAM	2.5844
TNFAIP3	2.5844
TNFSF4	2.5844
UBE2L3	2.5844
TNIP1	2.5844
PXK	2.5844
BANK1	2.5844
KIAA0319L	2.5844
JAZF1	2.5844
HMGCL	2.5808
POLE	2.5798
PKHD1	2.5621
MED12	2.5621
RYR1	2.5609
ABL1	2.5562
BCR	2.5562
