gene	sim_score
MYH7	4.3794
ACTC1	4.2077
MYL2	4.2045
MYH6	4.1324
FLNC	3.9922
LMNA	3.9724
TNNT2	3.8894
MYPN	3.8884
SDHD	3.8765
SCN5A	3.876
TNNI3	3.791
POLG	3.7894
TWNK	3.7817
SDHA	3.7578
NKX2-5	3.7566
ABCC9	3.6992
BAG3	3.6801
TTN	3.6428
GATA6	3.6339
GATA4	3.6174
TLL1	3.559
ELN	3.4958
KCNJ5	3.4413
NPPA	3.4413
SDHB	3.4098
MYOZ2	3.4072
SLC25A4	3.3934
KLHL24	3.3681
PRKAG2	3.3659
TNNC1	3.3655
SMAD3	3.3426
JPH2	3.3418
RRM2B	3.3288
GJA5	3.3244
DMD	3.3066
MYBPC3	3.2671
PSEN1	3.26
CAV3	3.2462
GNPTAB	3.2444
MT-TS1	3.2431
GAA	3.2396
POLG2	3.2381
HADHA	3.2347
GATA5	3.2337
PSEN2	3.218
MYL3	3.2156
FHL1	3.2118
NF1	3.1984
PLN	3.1943
CITED2	3.1933
TBX20	3.1933
MT-TK	3.1893
LOX	3.1887
SMAD2	3.185
HADHB	3.1701
FBN1	3.1641
GLA	3.1618
LDB3	3.1556
LZTR1	3.1453
TGFB3	3.1388
RPL3L	3.1303
ACTN2	3.1295
TCAP	3.1295
TTR	3.1264
ABCC6	3.1193
MT-ND1	3.1052
MT-ND5	3.1052
MT-ND6	3.1052
MT-TL1	3.1052
MT-TW	3.1052
FKTN	3.0948
PIGA	3.0931
GBA1	3.0889
MT-CO1	3.0751
MT-CO3	3.0751
TGFBR2	3.0744
AIP	3.0653
FHOD3	3.057
NKX2-6	3.0369
POMT1	3.0369
ATRX	3.0329
SCN1B	3.0247
MT-CO2	3.0225
MT-TF	3.0225
MT-TQ	3.0225
MT-TS2	3.0225
ADAMTS19	3.0097
FKRP	3.0082
NEXN	2.9966
ZMPSTE24	2.9902
DSP	2.9902
DSG2	2.9831
MT-CYB	2.9743
ENPP1	2.9732
MEN1	2.945
EFEMP2	2.9344
HCN4	2.9203
RAF1	2.9156
CRYAB	2.9146
GPR101	2.9077
SGCD	2.9073
TERT	2.8926
KCNJ2	2.8872
LAMP2	2.8727
TAFAZZIN	2.8721
MEFV	2.8668
DTNA	2.8643
TXNRD2	2.8634
PRDM16	2.8501
CPT2	2.8491
DNMT3A	2.8446
TGFB2	2.8438
HLA-B	2.8437
GPC3	2.8365
TBX5	2.8343
KIF20A	2.8323
PTPN11	2.8211
LRPPRC	2.7995
SCO2	2.7975
TGFBR1	2.7884
VHL	2.7858
TPM1	2.7817
TMEM43	2.7802
GNB2	2.78
POMT2	2.7735
RIT1	2.7707
DYSF	2.7579
STX1A	2.7554
NCF1	2.7554
SLC2A10	2.7501
APOB	2.7494
CHST3	2.7476
FGFR1	2.7467
LMOD2	2.7458
NEK8	2.7306
MT-TV	2.725
BRAF	2.724
GTF2I	2.7232
LIMK1	2.7232
RFC2	2.7232
EIF4H	2.7232
CLIP2	2.7232
FKBP6	2.7232
BAZ1B	2.7232
GTF2IRD1	2.7232
TBL2	2.7232
GTF2IRD2	2.7232
DNAJC30	2.7232
BUD23	2.7232
TMEM270	2.7232
METTL27	2.7232
VPS37D	2.7232
KRAS	2.7078
RYR1	2.7077
KCNQ1	2.7075
PKP2	2.6983
LDLR	2.6939
LDLRAP1	2.6939
ABCG5	2.6939
ABCG8	2.6939
PCSK9	2.6939
ALPK3	2.6907
STAT4	2.6904
